trade_date,ts_code,OPEN,CLOSE,VOLUME
2015-11-23,000300.SH,3774.44,3753.34,175627000.0
2015-11-24,000300.SH,3745.76,3753.89,143383000.0
2015-11-25,000300.SH,3747.76,3781.61,151945000.0
2015-11-26,000300.SH,3795.25,3759.43,173525000.0
2015-11-27,000300.SH,3739.1,3556.99,208939000.0
2015-11-30,000300.SH,3554.89,3566.41,173201000.0
2015-12-01,000300.SH,3562.32,3591.7,136537000.0
2015-12-02,000300.SH,3587.76,3721.95,213539000.0
2015-12-03,000300.SH,3709.55,3749.3,197762000.0
2015-12-04,000300.SH,3719.73,3677.59,151200000.0
2015-12-07,000300.SH,3681.58,3687.61,113883000.0
2015-12-08,000300.SH,3668.84,3623.02,125781000.0
2015-12-09,000300.SH,3613.42,3635.94,113325000.0
2015-12-10,000300.SH,3634.37,3623.08,120216000.0
2015-12-11,000300.SH,3605.37,3608.06,110322000.0
2015-12-14,000300.SH,3573.88,3711.32,151769000.0
2015-12-15,000300.SH,3707.73,3694.39,126482000.0
2015-12-16,000300.SH,3703.95,3685.44,111343000.0
2015-12-17,000300.SH,3712.78,3755.89,177924000.0
2015-12-18,000300.SH,3754.96,3767.91,173466000.0
2015-12-21,000300.SH,3762.1,3865.97,217435000.0
2015-12-22,000300.SH,3872.1,3876.73,180304000.0
2015-12-23,000300.SH,3877.87,3866.38,207017000.0
2015-12-24,000300.SH,3858.13,3829.4,147181000.0
2015-12-25,000300.SH,3832.08,3838.2,119624000.0
2015-12-28,000300.SH,3847.53,3727.63,153988000.0
2015-12-29,000300.SH,3723.05,3761.87,101886000.0
2015-12-30,000300.SH,3762.91,3765.18,105630000.0
2015-12-31,000300.SH,3760.9,3731.0,101874000.0
2016-01-04,000300.SH,3725.86,3469.07,115371000.0
2016-01-05,000300.SH,3382.18,3478.78,162117000.0
2016-01-06,000300.SH,3482.41,3539.81,145966000.0
2016-01-07,000300.SH,3481.15,3294.38,44102600.0
2016-01-08,000300.SH,3371.87,3361.56,185959000.0
2016-01-11,000300.SH,3303.12,3192.45,174638000.0
2016-01-12,000300.SH,3214.82,3215.71,128226000.0
2016-01-13,000300.SH,3240.48,3155.88,120666000.0
2016-01-14,000300.SH,3076.64,3221.57,134538000.0
2016-01-15,000300.SH,3200.89,3118.73,124602000.0
2016-01-18,000300.SH,3068.23,3130.73,101128000.0
2016-01-19,000300.SH,3132.7,3223.12,127654000.0
2016-01-20,000300.SH,3204.22,3174.38,130651000.0
2016-01-21,000300.SH,3136.38,3081.35,111190000.0
2016-01-22,000300.SH,3114.9,3113.46,89951100.0
2016-01-25,000300.SH,3129.03,3128.89,81540100.0
2016-01-26,000300.SH,3099.6,2940.51,126934000.0
2016-01-27,000300.SH,2953.18,2930.35,132229000.0
2016-01-28,000300.SH,2909.33,2853.76,99222800.0
2016-01-29,000300.SH,2855.6,2946.09,113304000.0
2016-02-01,000300.SH,2939.04,2901.05,86795300.0
2016-02-02,000300.SH,2901.53,2961.33,88602000.0
2016-02-03,000300.SH,2931.29,2948.64,77389000.0
2016-02-04,000300.SH,2960.33,2984.76,91779700.0
2016-02-05,000300.SH,2982.06,2963.79,76850800.0
2016-02-15,000300.SH,2888.43,2946.71,72919400.0
2016-02-16,000300.SH,2962.19,3037.04,112580000.0
2016-02-17,000300.SH,3034.09,3063.32,128292000.0
2016-02-18,000300.SH,3079.53,3053.7,124401000.0
2016-02-19,000300.SH,3047.94,3051.58,87338000.0
2016-02-22,000300.SH,3083.93,3118.87,140947000.0
2016-02-23,000300.SH,3117.2,3089.36,112567000.0
2016-02-24,000300.SH,3077.61,3109.55,111783000.0
2016-02-25,000300.SH,3104.41,2918.75,157830000.0
2016-02-26,000300.SH,2942.1,2948.03,106950000.0
2016-02-29,000300.SH,2939.58,2877.47,129341000.0
2016-03-01,000300.SH,2881.34,2930.69,116046000.0
2016-03-02,000300.SH,2933.92,3051.33,175972000.0
2016-03-03,000300.SH,3050.39,3058.42,173106000.0
